X,Y,Intersection,All Motorized Vehicles AADT (24 hour volume),% Truck,Pedestrians Not Factored,Bicycles Not Factored,Data Collection Date
383736.1826,5036677.455,240 S OF CHARLEMAGNE BLVD/DES EPINETTES AVE @ TENTH LINE RD,27032,2.35%,51,6,2017-Apr-19
376058.7219,5001706.333,2ND LINE RD @ OSGOODE MAIN ST,3529,4.88%,4,0,2017-Jan-17
383165.797,5016891.458,8TH LINE RD @ PARKWAY RD,3961,4.68%,5,5,2017-Oct-11
358343.226,5023230.238,AERO DR @ HOLLY ACRES RD,7820,3.10%,97,15,2017-Nov-30
374971.7411,5027717.536,AGES DR @ HAWTHORNE RD,23004,14.52%,24,4,2017-Jan-25
366428.7011,5030626.571,ALBERT ST @ BOOTH ST,36881,11.81%,3742,34,2017-Mar-28
366428.7011,5030626.571,ALBERT ST @ BOOTH ST,33577,11.83%,4540,181,2017-Jun-08
366739.7019,5031016.574,ALBERT ST @ BRONSON AVE,15215,14.03%,950,13,2017-Dec-13
366713.7011,5030971.574,ALBERT ST @ COMMISSIONER ST,13304,14.93%,435,57,2017-Apr-19
366576.7011,5030720.571,ALBERT ST @ EMPRESS AVE,15562,20.64%,824,7,2017-Apr-19
366576.7011,5030720.571,ALBERT ST @ EMPRESS AVE,16215,21.95%,905,6,2017-Mar-28
367221.703,5031319.576,ALBERT ST @ KENT ST (OTTAWA),20485,11.96%,15758,25,2017-Mar-28
367691.7041,5031613.579,ALBERT ST @ METCALFE ST,16461,12.85%,17739,52,2017-Mar-28
374010.0249,5019208.543,ALBION RD @ FINDLAY CREEK DR,16932,5.13%,7,20,2017-Jun-08
375906.754,5014804.447,ALBION RD @ MITCH OWENS RD,18435,9.02%,0,5,2017-May-04
373630.743,5020104.485,ALBION RD @ QUINN RD/FENTON RD,15451,4.25%,16,5,2017-Jun-29
375092.751,5016674.461,ALBION RD @ RIDEAU RD,15260,8.80%,1,13,2017-May-04
372129.734,5023174.507,ALDERWOOD ST @ AUTUMNWOOD ST,849,4.83%,33,9,2017-Jun-08
372097.734,5023336.508,ALDERWOOD ST @ TRAPPER'S RD,1067,3.23%,27,10,2017-Apr-12
349372.1751,5015900.885,ALON ST @ MAPLE GROVE RD,628,2.61%,1,0,2017-Nov-02
349372.1751,5015900.885,ALON ST @ MAPLE GROVE RD,647,3.54%,3,3,2017-Nov-03
370344.72,5028017.545,ALTA VISTA DR @ CUNNINGHAM AVE,13958,2.69%,151,153,2017-Jun-01
370432.7189,5029081.553,ALTA VISTA DR @ SMYTH RD,40310,2.84%,382,105,2017-Apr-11
370432.7189,5029081.553,ALTA VISTA DR @ SMYTH RD,46976,2.99%,463,55,2017-Nov-21
372925.6789,5033117.756,AMBERCREST ST @ MEADOWCROFT CRES E,300,5.46%,25,6,2017-Nov-29
372841.6411,5033067.662,AMBERCREST ST @ MEADOWCROFT CRES W,801,3.64%,56,32,2017-Sep-21
375697.8841,5020813.431,ANALDEA DR/ WHITE ALDER AVE @ BANK ST,17650,3.90%,60,0,2017-Mar-13
376280.7381,5031841.563,ANDERSON RD @ INNES RD,47834,4.05%,0,86,2017-May-03
380473.774,5024908.508,ANDERSON RD @ LEITRIM RD,9218,5.65%,2,2,2017-Jun-21
379029.7589,5028508.532,ANDERSON RD @ RIDGE RD,9783,2.45%,0,3,2017-Jun-01
364934.617,5012032.691,ANDRE AUDET AVE @ DUNDONALD DR,3433,2.86%,53,9,2017-Jun-29
361669.683,5026448.533,ANTHONY AVE @ WOODROFFE AVE,14281,2.21%,86,21,2017-Aug-03
361669.683,5026448.533,ANTHONY AVE @ WOODROFFE AVE,13806,2.40%,60,10,2017-Aug-22
361669.683,5026448.533,ANTHONY AVE @ WOODROFFE AVE,16371,2.41%,108,18,2017-Sep-26
361669.683,5026448.533,ANTHONY AVE @ WOODROFFE AVE,14372,2.37%,81,8,2017-Nov-16
375316.7279,5033687.581,APPLEFORD ST @ OGILVIE RD,14968,4.94%,606,2,2017-Feb-09
384776.3381,5035179.102,AQUAVIEW DR @ BRIAN COBURN BLVD,12232,3.00%,302,18,2017-May-03
372781.729,5028923.549,ARCH ST @ CHAPMAN BLVD,913,3.79%,117,35,2017-Sep-07
368184.7079,5030485.568,ARGYLE AVE @ O'CONNOR ST,17011,2.03%,2382,68,2017-Mar-21
368337.7079,5030578.569,ARGYLE AVE W @ METCALFE ST,14266,1.49%,379,5,2017-Apr-04
367222.7049,5029867.563,ARLINGTON AVE @ BRONSON AVE,24589,4.12%,667,13,2017-Dec-13
367868.7071,5030257.566,ARLINGTON AVE @ KENT ST,16213,2.13%,903,45,2017-Apr-05
363453.691,5028441.552,ATHLONE AVE @ RICHMOND RD,11918,2.01%,1948,139,2017-Apr-20
363329.952,5028734.994,ATHLONE AVE @ SCOTT ST,9502,4.64%,1346,119,2017-Nov-22
373110.723,5032376.576,AVIATION PKWY @ OGILVIE RD,45770,1.87%,323,159,2017-May-09
368354.711,5028536.551,AYLMER AVE @ ROSEDALE AVE,1757,3.52%,267,15,2017-Jan-11
388036.7781,5001137.32,BANK ST @ BELMEADE RD/MARIONVILLE RD,6099,6.75%,0,0,2017-Mar-28
368040.755,5030268.015,BANK ST @ CATHERINE ST,24611,4.34%,2787,109,2017-Apr-05
369944.72,5026989.537,BANK ST @ CECIL AVE,25118,2.62%,168,18,2017-Apr-25
369918.0759,5027062.301,BANK ST @ EVANS AVE,24424,2.67%,143,12,2017-Apr-06
368399.6381,5029398.237,BANK ST @ FIFTH AVE,17358,4.69%,5563,862,2017-Jul-20
368399.6381,5029398.237,BANK ST @ FIFTH AVE,24001,2.38%,10981,764,2017-Sep-10
